rid,reason,label,text
290181960547478074,dup_nova_near,fake,Os boateiros e suas grandes trolladas na mídia – parte 3
921043198430615362,dup_nova_near,fake,Os boateiros e suas grandes trolladas na mídia – parte 4
604630968972295427,dup_nova_near,fake,Os boateiros e suas grandes trolladas na mídia – parte 5
604158497779344287,dup_nova_near,fake,Confira o desmentido em vídeo:
161798384456629454,dup_v1_exata,fake,"SE VOCÊ TIVER INFORTÚNIO DE SER VÍTIMA DE UM SEQÜESTRO-RELÂMPAGO, E TIVER QUE SACAR DINHEIRO NUM CAIXA ELETRÔNICO, MANTENHA A CALMA E TECLE SUA SENHA DE MANEIRA INVERSA! POR EXEMPLO: SE SUA SENHA FOR "
751122939787089423,dup_nova_near,fake,Confira o desmentido em vídeo: ﻿
687857998747236305,dup_nova_near,fake,Confira o desmentido em vídeo: ﻿
996456879962795465,dup_nova_near,fake,Assista ao desmentido em vídeo ﻿
408200043363311445,dup_v1_exata,fake,"Confirmado... Amanhã acabarão as mensagens grátis, e começarão a cobrar por whatsapp a 0.37 centavos. Reenvie este mensagem a mais de 3 grupos , e terá gratuito por toda a vida. Fique atento na bolinh"
12629957391733473,dup_nova_near,fake,Confira o desmentido em vídeo
950213894613634956,dup_nova_near,fake,Atenção! Textos falsos atribuídos a Arnaldo Jabor e Alexandre Garcia sempre circulam na web. Saiba quando desconfiar: ﻿
303847087053293466,dup_nova_near,fake,Confira o desmentido em vídeo:
14057373205350457,dup_nova_near,fake,Confira o desmentido em vídeo: ﻿
256430516246070495,dup_nova_near,fake,Confira o nosso desmentido em vídeo
903600998787558592,dup_nova_near,fake,Assista ao nosso desmentido em vídeo
589811029751698817,dup_nova_near,fake,Assista ao nosso recado sobre celulares que explodem e fotos de pessoas mortas e compartilhe:
250043342582246650,dup_nova_near,fake,Confira o desmentido em vídeo: ﻿
206202149577814520,dup_nova_near,fake,Confira o nosso desmentido em vídeo
641446400282523010,dup_nova_near,fake,Confira o nosso desmentido em vídeo
903783531537353628,dup_nova_near,fake,Assista ao nosso recado sobre celulares que explodem e fotos de pessoas mortas e compartilhe:
233456399134460143,dup_nova_near,fake,Confira também: 8 fake news sobre alertas de golpes na internet ﻿
453371281880189493,dup_nova_near,fake,Confira o desmentido em vídeo:
1060240308254986378,dup_nova_near,fake,Confira o desmentido em vídeo: ﻿
664295765996011978,dup_nova_near,fake,Assista ao desmentido em vídeo
1098815813197684191,dup_nova_near,fake,Assista ao desmentido em vídeo
210792731280024245,dup_nova_near,fake,Assista ao nosso desmentido em vídeo
779671128686073004,dup_nova_near,fake,Confira o nosso desmentido em vídeo
531922382445473831,dup_nova_near,fake,Confira o desmentido em vídeo:
1030846844450808390,dup_nova_near,fake,Confira o desmentido em vídeo:
208604898912098988,dup_nova_near,fake,Confira o desmentido em vídeo: ﻿
255678465169121808,dup_nova_near,fake,Assista ao nosso recado sobre celulares que explodem e fotos de pessoas mortas e compartilhe:
496001820026130874,dup_v1_exata,fake,O PS não passou a ser contra o corte de salários e pensões ao defender a sua reposição depois das eleições. O Partido Socialista não tinha no memorando o corte de pensões e salários e foi sempre contr
265752817678475722,dup_nova_near,fake,Vídeo explica quais são as chances de um tsunami ocorrer no Brasil. Confira! ﻿
636728494801686928,dup_nova_near,fake,Assista ao desmentido em vídeo
248177496025145987,dup_nova_near,fake,Confira o desmentido em vídeo ﻿
142514145696337347,dup_nova_near,fake,Confira o desmentido em vídeo: ﻿
338325815986911644,dup_nova_near,fake,Atenção! Textos falsos atribuídos a Arnaldo Jabor e Alexandre Garcia sempre circulam na web. Saiba quando desconfiar: ﻿
213667761636152325,dup_nova_near,fake,Confira o desmentido em vídeo
235461162884443173,dup_nova_near,fake,Confira o nosso desmentido em vídeo
219196880132376191,dup_v1_exata,fake,"Somos um governo que tem um retrospecto. Diminuímos impostos. Nos últimos anos, fomos o governo que mais diminuiu impostos. Não é questão de opinião, mas de números."
723377481013355591,dup_v1_exata,fake,"É fundamental que se aprove a CPMF. Acredito que muitos que, como eu, que antes que eram contra aumentar impostos, entendem hoje que esse aumento não é para se gastar mais, é para crescer mais."
916907478680742590,dup_nova_near,fake,Confira o desmentido em vídeo: ﻿
1123149962071494859,dup_nova_near,fake,Confira o nosso desmentido em vídeo
313115682156445664,dup_nova_near,fake,Saiba em quais dias de 2015 a boataria tomou conta da web
1028558106808134361,dup_nova_near,fake,Os 10 textos mais lidos de 2015 no Boatos.org
408120268902752144,dup_nova_near,fake,Os 10 textos mais lidos de 2015 no Boatos.org
657396728374944469,dup_nova_near,fake,Os 10 textos mais lidos de 2015 no Boatos.org
351763865984359667,dup_nova_near,fake,Os 10 textos mais lidos de 2015 no Boatos.org
574007541434653833,dup_v1_exata,fake,"Pela primeira vez nos últimos anos, as pensões mais baixas, nomeadamente as pensões mínimas, as pensões rurais e as pensões sociais vão perder poder de compra. A inflação prevista é claramente maior d"
158231030898553242,dup_nova_near,fake,Vídeo: Boatos.org explica por que estes vídeos não podem hackear celulares
560428748392446746,dup_v1_exata,fake,Marcelo criticou o pedido de fiscalização sucessiva [dos cortes dos subsídios de férias e de natal aos funcionários públicos e pensionistas]. Estava a ser apresentada uma proposta inconstitucional que
778126549427781625,dup_nova_near,fake,Confira o nosso desmentido em vídeo ﻿
783298339348510200,dup_nova_near,fake,Confira o nosso desmentido em vídeo
967760060929898155,dup_nova_near,fake,Confira o nosso desmentido em vídeo
894941655700632522,dup_nova_near,fake,Confira o desmentido em vídeo: ﻿
409724397295754994,dup_v1_exata,true,"Se desconsiderarmos o aumento do gasto com energia elétrica, conseguimos reduzir em 10,2%, reais, as despesas de custeio do conjunto do governo federal em 2015."
113313727544660451,dup_v1_exata,fake,"Esta Casa Legislativa cumpriu seu papel de não apenas legislar, mas tratar com a mesma importância as demandas da sociedade."
401268651253416921,dup_nova_near,fake,Confira o desmentido em vídeo ﻿
460204484364816086,dup_nova_near,fake,Confira o desmentido em vídeo:
687408642529353848,dup_nova_near,fake,Confira o desmentido em vídeo ﻿
1079479890078567262,dup_nova_near,fake,Confira o desmentido em vídeo ﻿
469349089448989361,dup_v1_exata,fake,Não há justiça para cidadãos quando as garantias institucionais da própria Presidência da República são violadas.
452351531399704162,dup_v1_near,fake,"Divulgado o Escândalo que todo mundo suspeitava! Isso explique a razão de Marina Silva ter declarado a seguinte frase:- Se as pessoas soubessem o que aconteceu nas Eleições de 2014, ficariam enojadas!"
839077099020097055,dup_v1_exata,fake,As atuais epidemias são um reflexo do baixo investimento em saneamento e em campanhas educativas.
1084850716396084026,dup_v1_exata,true,"Alguns querem tratar a questão como se vivêssemos no regime parlamentarista, onde a suspeição política de um presidente é condição necessária e suficiente para que ele seja afastado."
167504620289448272,dup_v1_exata,fake,"Dos 38 deputados que votaram contra o impeachment do Collor em 1992, 37 não se elegeram mais, nem para síndico de prédio. Fica o lembrete aos nossos caros deputados. Apenas Roberto Jefferson se reeleg"
758886692721514829,dup_v1_exata,true,Nenhum governo anterior atrasou por tanto tempo repasses a bancos públicos.. Acesse os dados aqui.
1141675433852379336,dup_nova_near,fake,Confira o desmentido em vídeo: ﻿
405676099962628398,dup_v1_exata,fake,"Como estabelecido pelo Tratado sobre o Funcionamento da União Europeia, o Banco Central Europeu, como instituição europeia, responde perante o Parlamento Europeu. (…) Esta é a posição institucional do"
690711305904752986,dup_nova_near,fake,Um casamento coletivo realizado em Gaza reunia meninas de 4 a 10 anos e adultos
598366416536629711,dup_v1_exata,fake,A Olimpíada não tem nada a ver com os problemas do Estado. Muito pelo contrário. Nós [o Comitê Rio–2016] estamos trabalhando de maneira completamente independente. As obrigações que o Estado tem estão
173877269146962240,dup_nova_near,fake,Confira o desmentido em vídeo: ﻿
300506199014634499,dup_nova_near,fake,Confira o desmentido no vídeo ﻿
1145770281254512845,dup_v1_exata,fake,"A França, que tem 36 [horas], passou para a possibilidade de até 60 horas* de trabalho semanal e até 12 horas diárias de trabalho."
1074258184834135579,dup_nova_near,fake,Assista ao desmentido em vídeo
478981336814875458,dup_v1_exata,fake,"Atos idênticos foram executados pelos presidentes que me antecederam. Não era crime na época deles, e também não é crime agora."
240332951815360828,dup_nova_near,fake,Atenção! Textos falsos atribuídos a Arnaldo Jabor e Alexandre Garcia sempre circulam na web. Saiba quando desconfiar: ﻿
